# 𝙵𝙾𝚁𝙼𝙰𝚃 𝚘𝚛𝚐.𝚊𝚝𝚎𝚕𝚒𝚎𝚛𝙸𝚗𝚖𝚞.𝚟𝚌𝚑𝚎𝚠𝚒𝚗𝚐.𝚞𝚜𝚎𝚛𝙻𝚊𝚗𝚐𝚞𝚊𝚐𝚎𝙼𝚘𝚍𝚎𝚕𝙳𝚊𝚝𝚊.𝚏𝚘𝚛𝚖𝚊𝚝𝚝𝚎𝚍
一風堂 ㄧˋ-ㄈㄥ-ㄊㄤˊ
付一付 ㄈㄨˋ-ㄧˊ-ㄈㄨˋ
代入 ㄉㄞˋ-ㄖㄨˋ
以太幣 ㄧˇ-ㄊㄞˋ-ㄅㄧˋ
以核養綠 ㄧˇ-ㄏㄜˊ-ㄧㄤˇ-ㄌㄩˋ
兄貴 ㄒㄩㄥ-ㄍㄨㄟˋ
充放電 ㄔㄨㄥ-ㄈㄤˋ-ㄉㄧㄢˋ
充筆電 ㄔㄨㄥ-ㄅㄧˇ-ㄉㄧㄢˋ
充電頭 ㄔㄨㄥ-ㄉㄧㄢˋ-ㄊㄡˊ
出櫃 ㄔㄨ-ㄍㄨㄟˋ
加特蘭 ㄐㄧㄚ-ㄊㄜˋ-ㄌㄢˊ
包稅 ㄅㄠ-ㄕㄨㄟˋ
包絡線 ㄅㄠ-ㄌㄨㄛˋ-ㄒㄧㄢˋ
北科 ㄅㄟˇ-ㄎㄜ
北健 ㄅㄟˇ-ㄐㄧㄢˋ
北捷 ㄅㄟˇ-ㄐㄧㄝˊ
北視 ㄅㄟˇ-ㄕˋ
北漂 ㄅㄟˇ-ㄆㄧㄠ
半功率 ㄅㄢˋ-ㄍㄨㄥ-ㄌㄩˋ
半波長 ㄅㄢˋ-ㄅㄛ-ㄔㄤˊ
半幅 ㄅㄢˋ-ㄈㄨˊ
卡比獸 ㄎㄚˇ-ㄅㄧˇ-ㄕㄡˋ
卡布奇諾 ㄎㄚˇ-ㄅㄨˋ-ㄑㄧˊ-ㄋㄨㄛˋ
卡西歐 ㄎㄚˇ-ㄒㄧ-ㄡ
卡亞利 ㄎㄚˇ-ㄧㄚˇ-ㄌㄧˋ
卡迪那 ㄎㄚˇ-ㄉㄧˊ-ㄋㄚˋ
卡娜赫拉 ㄎㄚˇ-ㄋㄚˋ-ㄏㄜˋ-ㄌㄚ
卡滋 ㄎㄚˇ-ㄗ
卡瑞托 ㄎㄚˇ-ㄖㄨㄟˋ-ㄊㄨㄛ
卡辣姆久 ㄎㄚˇ-ㄌㄚ-ㄇㄨˇ-ㄐㄧㄡˇ
卡樂比 ㄎㄚˇ-ㄌㄜˋ-ㄅㄧˇ
古坑 ㄍㄨˇ-ㄎㄥ
古拉爵 ㄍㄨˇ-ㄌㄚ-ㄐㄩㄝˊ
古寶 ㄍㄨˇ-ㄅㄠˇ
句尾 ㄐㄩˋ-ㄨㄟˇ
可口奶滋 ㄎㄜˇ-ㄎㄡˇ-ㄋㄞˇ-ㄗ
可成 ㄎㄜˇ-ㄔㄥˊ
台半 ㄊㄞˊ-ㄅㄢˋ
台江 ㄊㄞˊ-ㄐㄧㄤ
台固 ㄊㄞˊ-ㄍㄨˋ
台虹 ㄊㄞˊ-ㄏㄨㄥˊ
台勝科 ㄊㄞˊ-ㄕㄥˋ-ㄎㄜ
台獨 ㄊㄞˊ-ㄉㄨˊ
台灣之星 ㄊㄞˊ-ㄨㄢ-ㄓ-ㄒㄧㄥ
右昌 ㄧㄡˋ-ㄔㄤ
四季春 ㄙˋ-ㄐㄧˋ-ㄔㄨㄣ
外網 ㄨㄞˋ-ㄨㄤˇ
奶油獅 ㄋㄞˇ-ㄧㄡˊ-ㄕ
奶凍捲 ㄋㄞˇ-ㄉㄨㄥˋ-ㄐㄩㄢˇ
尼康 ㄋㄧˊ-ㄎㄤ
布丁狗 ㄅㄨˋ-ㄉㄧㄥ-ㄍㄡˇ
弘塑 ㄏㄨㄥˊ-ㄙㄨˋ
必安住 ㄅㄧˋ-ㄢ-ㄓㄨˋ
打野 ㄉㄚˇ-ㄧㄝˇ
打線 ㄉㄚˇ-ㄒㄧㄢˋ
本週 ㄅㄣˇ-ㄓㄡ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
本機 ㄅㄣˇ-ㄐㄧ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
正忠 ㄓㄥˋ-ㄓㄨㄥ
正捷 ㄓㄥˋ-ㄐㄧㄝˊ
正崴 ㄓㄥˋ-ㄨㄟ
正揚 ㄓㄥˋ-ㄧㄤˊ
正新 ㄓㄥˋ-ㄒㄧㄣ
正福堂 ㄓㄥˋ-ㄈㄨˊ-ㄊㄤˊ
永豐 ㄩㄥˇ-ㄈㄥ
瓦城 ㄨㄚˇ-ㄔㄥˊ
生醫 ㄕㄥ-ㄧ
田馥甄 ㄊㄧㄢˊ-ㄈㄨˋ-ㄓㄣ
甲亢 ㄐㄧㄚˇ-ㄎㄤˋ
立積 ㄌㄧˋ-ㄐㄧ
任意鍵 ㄖㄣˋ-ㄧˋ-ㄐㄧㄢˋ
光世代 ㄍㄨㄤ-ㄕˋ-ㄉㄞˋ
光固化 ㄍㄨㄤ-ㄍㄨˋ-ㄏㄨㄚˋ
光南 ㄍㄨㄤ-ㄋㄢˊ
光陽 ㄍㄨㄤ-ㄧㄤˊ
光頡 ㄍㄨㄤ-ㄐㄧㄝˊ
光寶 ㄍㄨㄤ-ㄅㄠˇ
全血 ㄑㄩㄢˊ-ㄒㄧㄝˇ
全距 ㄑㄩㄢˊ-ㄐㄩˋ
全糖 ㄑㄩㄢˊ-ㄊㄤˊ
全聯 ㄑㄩㄢˊ-ㄌㄧㄢˊ
匡列 ㄎㄨㄤ-ㄌㄧㄝˋ
各各 ㄍㄜˋ-ㄍㄜˋ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
合勤 ㄏㄜˊ-ㄑㄧㄣˊ
同致 ㄊㄨㄥˊ-ㄓˋ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
回授 ㄏㄨㄟˊ-ㄕㄡˋ
在線互動式 ㄗㄞˋ-ㄒㄧㄢˋ-ㄏㄨˋ-ㄉㄨㄥˋ-ㄕˋ
在線式 ㄗㄞˋ-ㄒㄧㄢˋ-ㄕˋ
地圖炮 ㄉㄧˋ-ㄊㄨˊ-ㄆㄠˋ
地縛靈 ㄉㄧˋ-ㄈㄨˊ-ㄌㄧㄥˊ
多力多滋 ㄉㄨㄛ-ㄌㄧˋ-ㄉㄨㄛ-ㄗ
多那之 ㄉㄨㄛ-ㄋㄚˋ-ㄓ
多芬 ㄉㄨㄛ-ㄈㄣ
多益 ㄉㄨㄛ-ㄧˋ
多層板 ㄉㄨㄛ-ㄘㄥˊ-ㄅㄢˇ
多錢 ㄉㄨㄛ-ㄑㄧㄢˊ
好麗友 ㄏㄠˇ-ㄌㄧˋ-ㄧㄡˇ
字節 ㄗˋ-ㄐㄧㄝˊ
安捷倫 ㄢ-ㄐㄧㄝˊ-ㄌㄨㄣˊ
安森美 ㄢ-ㄙㄣ-ㄇㄟˇ
安集 ㄢ-ㄐㄧˊ
安裝檔 ㄢ-ㄓㄨㄤ-ㄉㄤˇ
安霸 ㄢ-ㄅㄚˋ
年繳 ㄋㄧㄢˊ-ㄐㄧㄠˇ
收貨 ㄕㄡ-ㄏㄨㄛˋ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
旭集 ㄒㄩˋ-ㄐㄧˊ
曲奇餅 ㄑㄩˇ-ㄑㄧˊ-ㄅㄧㄥˇ
曲率 ㄑㄩˇ-ㄌㄩˋ
曲線 ㄑㄩˇ-ㄒㄧㄢˋ
有貨 ㄧㄡˇ-ㄏㄨㄛˋ
池上鄉 ㄔˊ-ㄕㄤˋ-ㄒㄧㄤ
百立 ㄅㄞˇ-ㄌㄧˋ
百齡 ㄅㄞˇ-ㄌㄧㄥˊ
百靈油 ㄅㄞˇ-ㄌㄧㄥˊ-ㄧㄡˊ
米勒 ㄇㄧˇ-ㄌㄜˋ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
米森 ㄇㄧˇ-ㄙㄣ
米塔 ㄇㄧˇ-ㄊㄚˇ
米樂 ㄇㄧˇ-ㄌㄜˋ
老虎堂 ㄌㄠˇ-ㄏㄨˇ-ㄊㄤˊ
老賴 ㄌㄠˇ-ㄌㄞˋ
肌研 ㄐㄧ-ㄧㄢˊ
自付 ㄗˋ-ㄈㄨˋ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
自在軒 ㄗˋ-ㄗㄞˋ-ㄒㄩㄢ
自校 ㄗˋ-ㄐㄧㄠˋ
自婊 ㄗˋ-ㄅㄧㄠˇ
自駕 ㄗˋ-ㄐㄧㄚˋ
至臻 ㄓˋ-ㄓㄣ
艾司摩爾 ㄞˋ-ㄙ-ㄇㄛˊ-ㄦˇ
血氧 ㄒㄧㄝˇ-ㄧㄤˇ
行充 ㄒㄧㄥˊ-ㄔㄨㄥ
行高 ㄏㄤˊ-ㄍㄠ
行動電源 ㄒㄧㄥˊ-ㄉㄨㄥˋ-ㄉㄧㄢˋ-ㄩㄢˊ
低功耗 ㄉㄧ-ㄍㄨㄥ-ㄏㄠˋ
低軌 ㄉㄧ-ㄍㄨㄟˇ
作動 ㄗㄨㄛˋ-ㄉㄨㄥˋ
克潮靈 ㄎㄜˋ-ㄔㄠˊ-ㄌㄧㄥˊ
免安裝 ㄇㄧㄢˇ-ㄢ-ㄓㄨㄤ
冷露 ㄌㄥˇ-ㄌㄨˋ
初始值 ㄔㄨ-ㄕˇ-ㄓˊ
初值 ㄔㄨ-ㄓˊ
別茶人 ㄅㄧㄝˊ-ㄔㄚˊ-ㄖㄣˊ
利華 ㄌㄧˋ-ㄏㄨㄚˊ
吳記 ㄨˊ-ㄐㄧˋ
吳博 ㄨˊ-ㄅㄛˊ
吸波 ㄒㄧ-ㄆㄛ
告爾多 ㄍㄠˋ-ㄦˇ-ㄉㄨㄛ
坑錢 ㄎㄥ-ㄑㄧㄢˊ
夾餡 ㄐㄧㄚˊ-ㄒㄧㄢˋ
妙而舒 ㄇㄧㄠˋ-ㄦˊ-ㄕㄨ
妙管家 ㄇㄧㄠˋ-ㄍㄨㄢˇ-ㄐㄧㄚ
妙禪 ㄇㄧㄠˋ-ㄔㄢˊ
宋仲基 ㄙㄨㄥˋ-ㄓㄨㄥˋ-ㄐㄧ
完售 ㄨㄢˊ-ㄕㄡˋ
宏致 ㄏㄨㄥˊ-ㄓˋ
尬鍋 ㄍㄚˋ-ㄍㄨㄛ
尾刀 ㄨㄟˇ-ㄉㄠ
屁孩 ㄆㄧˋ-ㄏㄞˊ
廷瑄 ㄊㄧㄥˊ-ㄒㄩㄢ
形心 ㄒㄧㄥˊ-ㄒㄧㄣ
志明 ㄓˋ-ㄇㄧㄥˊ
志偉 ㄓˋ-ㄨㄟˇ
快充 ㄎㄨㄞˋ-ㄔㄨㄥ
我司 ㄨㄛˇ-ㄙ
扼流 ㄜˋ-ㄌㄧㄡˊ
技嘉 ㄐㄧˋ-ㄐㄧㄚ
李施德霖 ㄌㄧˇ-ㄕ-ㄉㄜˊ-ㄌㄧㄣˊ
杜邦線 ㄉㄨˋ-ㄅㄤ-ㄒㄧㄢˋ
杜拜 ㄉㄨˋ-ㄅㄞˋ
束線帶 ㄕㄨˋ-ㄒㄧㄢˋ-ㄉㄞˋ
沒貨 ㄇㄟˊ-ㄏㄨㄛˋ
沙威隆 ㄕㄚ-ㄨㄟ-ㄌㄨㄥˊ
秀下限 ㄒㄧㄡˋ-ㄒㄧㄚˋ-ㄒㄧㄢˋ
私品 ㄙ-ㄆㄧㄣˇ
系所 ㄒㄧˋ-ㄙㄨㄛˇ
系辦 ㄒㄧˋ-ㄅㄢˋ
肛門腺 ㄍㄤ-ㄇㄣˊ-ㄒㄧㄢˋ
貝利達 ㄅㄟˋ-ㄌㄧˋ-ㄉㄚˊ
貝親 ㄅㄟˋ-ㄑㄧㄣ
貝禮詩 ㄅㄟˋ-ㄌㄧˇ-ㄕ
車上睡 ㄔㄜ-ㄕㄤˋ-ㄕㄨㄟˋ
車充 ㄔㄜ-ㄔㄨㄥ
車載 ㄔㄜ-ㄗㄞˇ
那堤 ㄋㄚˋ-ㄊㄧˊ
里仁 ㄌㄧˇ-ㄖㄣˊ
防蚊 ㄈㄤˊ-ㄨㄣˊ
防潮箱 ㄈㄤˊ-ㄔㄠˊ-ㄒㄧㄤ
防銲 ㄈㄤˊ-ㄏㄢˋ
防蟑 ㄈㄤˊ-ㄓㄤ
乳清 ㄖㄨˇ-ㄑㄧㄥ
享鴨 ㄒㄧㄤˇ-ㄧㄚ
京瓷 ㄐㄧㄥ-ㄘˊ
京鼎 ㄐㄧㄥ-ㄉㄧㄥˇ
佳能 ㄐㄧㄚ-ㄋㄥˊ
佳福寺 ㄐㄧㄚ-ㄈㄨˊ-ㄙˋ
來店禮 ㄌㄞˊ-ㄉㄧㄢˋ-ㄌㄧˇ
依蕾特 ㄧ-ㄌㄟˊ-ㄊㄜˋ
制汗 ㄓˋ-ㄏㄢˋ
協方差 ㄒㄧㄝˊ-ㄈㄤ-ㄔㄚ
周立功 ㄓㄡ-ㄌㄧˋ-ㄍㄨㄥ
周湯豪 ㄓㄡ-ㄊㄤ-ㄏㄠˊ
呱吉 ㄍㄨㄚ-ㄐㄧˊ
味王 ㄨㄟˋ-ㄨㄤˊ
和牛涮 ㄏㄜˊ-ㄋㄧㄡˊ-ㄕㄨㄢˋ
和欣 ㄏㄜˊ-ㄒㄧㄣ
和泰 ㄏㄜˊ-ㄊㄞˋ
和碩 ㄏㄜˊ-ㄕㄨㄛˋ
夜神 ㄧㄝˋ-ㄕㄣˊ
奇文 ㄑㄧˊ-ㄨㄣˊ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
奇函數 ㄐㄧ-ㄏㄢˊ-ㄕㄨˋ
妮維雅 ㄋㄧˊ-ㄨㄟˊ-ㄧㄚˇ
定焦 ㄉㄧㄥˋ-ㄐㄧㄠ
定穎 ㄉㄧㄥˋ-ㄧㄥˇ
宜得利 ㄧˊ-ㄉㄜˊ-ㄌㄧˋ
宜鼎 ㄧˊ-ㄉㄧㄥˇ
岡本 ㄍㄤ-ㄅㄣˇ
岩谷 ㄧㄢˊ-ㄍㄨˇ
帛江 ㄅㄛˊ-ㄐㄧㄤ
承億 ㄔㄥˊ-ㄧˋ
承翰 ㄔㄥˊ-ㄏㄢˋ
昆淩 ㄎㄨㄣ-ㄌㄧㄥˊ
明泰 ㄇㄧㄥˊ-ㄊㄞˋ
易利氣 ㄧˋ-ㄌㄧˋ-ㄑㄧˋ
東莞 ㄉㄨㄥ-ㄨㄢˇ
東鹼 ㄉㄨㄥ-ㄐㄧㄢˇ
板廠 ㄅㄢˇ-ㄔㄤˇ
林心如 ㄌㄧㄣˊ-ㄒㄧㄣ-ㄖㄨˊ
果然匯 ㄍㄨㄛˇ-ㄖㄢˊ-ㄏㄨㄟˋ
欣亞 ㄒㄧㄣ-ㄧㄚˇ
河樂 ㄏㄜˊ-ㄌㄜˋ
炎亞綸 ㄧㄢˊ-ㄧㄚˇ-ㄌㄨㄣˊ
物聯網 ㄨˋ-ㄌㄧㄢˊ-ㄨㄤˇ
狀態機 ㄓㄨㄤˋ-ㄊㄞˋ-ㄐㄧ
盲區 ㄇㄤˊ-ㄑㄩ
直方圖 ㄓˊ-ㄈㄤ-ㄊㄨˊ
矽力 ㄒㄧˋ-ㄌㄧˋ
矽靈 ㄒㄧˋ-ㄌㄧㄥˊ
空拍機 ㄎㄨㄥ-ㄆㄞ-ㄐㄧ
空格鍵 ㄎㄨㄥˋ-ㄍㄜˊ-ㄐㄧㄢˋ
股神 ㄍㄨˇ-ㄕㄣˊ
育庭 ㄩˋ-ㄊㄧㄥˊ
芯科 ㄒㄧㄣ-ㄎㄜ
虎牌 ㄏㄨˇ-ㄆㄞˊ
近場 ㄐㄧㄣˋ-ㄔㄤˇ
金手獎 ㄐㄧㄣ-ㄕㄡˇ-ㄐㄧㄤˇ
金家 ㄐㄧㄣ-ㄐㄧㄚ
金莎 ㄐㄧㄣ-ㄕㄚ
金園 ㄐㄧㄣ-ㄩㄢˊ
金萱 ㄐㄧㄣ-ㄒㄩㄢ
金屬漆 ㄐㄧㄣ-ㄕㄨˇ-ㄑㄧ
阿凡達 ㄚ-ㄈㄢˊ-ㄉㄚˊ
阿宏 ㄚ-ㄏㄨㄥˊ
阿溪 ㄚ-ㄒㄧ
阿鳳 ㄚ-ㄈㄥˋ
阿霞 ㄚ-ㄒㄧㄚˊ
阿羅哈 ㄚ-ㄌㄨㄛˊ-ㄏㄚ
附魔 ㄈㄨˋ-ㄇㄛˊ
青花椒 ㄑㄧㄥ-ㄏㄨㄚ-ㄐㄧㄠ
青峰 ㄑㄧㄥ-ㄈㄥ
非常泰 ㄈㄟ-ㄔㄤˊ-ㄊㄞˋ
俊宏 ㄐㄩㄣˋ-ㄏㄨㄥˊ
保留字 ㄅㄠˇ-ㄌㄧㄡˊ-ㄗˋ
保桿 ㄅㄠˇ-ㄍㄢˇ
信和 ㄒㄧㄣˋ-ㄏㄜˊ
冒痘 ㄇㄠˋ-ㄉㄡˋ
勁戰 ㄐㄧㄥˋ-ㄓㄢˋ
南工 ㄋㄢˊ-ㄍㄨㄥ
南化 ㄋㄢˊ-ㄏㄨㄚˋ
南紡 ㄋㄢˊ-ㄈㄤˇ
南電 ㄋㄢˊ-ㄉㄧㄢˋ
南僑 ㄋㄢˊ-ㄑㄧㄠˊ
南漂 ㄋㄢˊ-ㄆㄧㄠ
咩噗 ㄇㄧㄝ-ㄆㄨ
咪聽 ㄇㄧ-ㄊㄧㄥ
咽管 ㄧㄢ-ㄍㄨㄢˇ
品中信 ㄆㄧㄣˇ-ㄓㄨㄥ-ㄒㄧㄣˋ
品田 ㄆㄧㄣˇ-ㄊㄧㄢˊ
哈克士 ㄏㄚ-ㄎㄜˋ-ㄕˋ
哈根達斯 ㄏㄚ-ㄍㄣ-ㄉㄚˊ-ㄙ
型一 ㄒㄧㄥˊ-ㄧ
型二 ㄒㄧㄥˊ-ㄦˋ
奕順軒 ㄧˋ-ㄕㄨㄣˋ-ㄒㄩㄢ
威化捲 ㄨㄟ-ㄏㄨㄚˋ-ㄐㄩㄢˇ
威剛 ㄨㄟ-ㄍㄤ
威聯通 ㄨㄟ-ㄌㄧㄢˊ-ㄊㄨㄥ
封控 ㄈㄥ-ㄎㄨㄥˋ
待定 ㄉㄞˋ-ㄉㄧㄥˋ
待測 ㄉㄞˋ-ㄘㄜˋ
待測物 ㄉㄞˋ-ㄘㄜˋ-ㄨˋ
待轉 ㄉㄞˋ-ㄓㄨㄢˇ
政黑 ㄓㄥˋ-ㄏㄟ
施巴 ㄕ-ㄅㄚ
星宇 ㄒㄧㄥ-ㄩˇ
星展 ㄒㄧㄥ-ㄓㄢˇ
星鏈 ㄒㄧㄥ-ㄌㄧㄢˋ
春芽 ㄔㄨㄣ-ㄧㄚˊ
是德 ㄕˋ-ㄉㄜˊ
柔光箱 ㄖㄡˊ-ㄍㄨㄤ-ㄒㄧㄤ
柯文哲 ㄎㄜ-ㄨㄣˊ-ㄓㄜˊ
洋城 ㄧㄤˊ-ㄔㄥˊ
洋菓子 ㄧㄤˊ-ㄍㄨㄛˇ-ㄗ˙
洗版 ㄒㄧˇ-ㄅㄢˇ
洩極 ㄒㄧㄝˋ-ㄐㄧˊ
派大星 ㄆㄞˋ-ㄉㄚˋ-ㄒㄧㄥ
炸毛 ㄓㄚˋ-ㄇㄠˊ
炸去啃 ㄓㄚˋ-ㄑㄩˋ-ㄎㄣˇ
